title,url,publishedDate,dateObject,src,lang,og_title
"
No riots in my nearly two-year rule, tweets UP CM
",https://timesofindia.indiatimes.com/city/agra/no-riots-in-my-nearly-two-year-rule-tweets-up-cm/articleshow/67372039.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
Rajiv Gandhi's name should be included in 1984 riot cases: Sukhbir Badal,https://timesofindia.indiatimes.com/india/rajiv-gandhis-name-should-be-included-in-1984-riot-cases-sukhbir-badal/articleshow/67371265.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
"PM Modi accuses Congress of protecting 1984 riot culprits, takes jibe at Kamal Nath",https://timesofindia.indiatimes.com/india/pm-modi-accuses-congress-of-protecting-1984-riot-culprits-takes-jibe-at-kamal-nath/articleshow/67369731.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
"PM Modi accuses Congress of protecting 1984 riot culprits, takes jibe at Kamal Nath",https://timesofindia.indiatimes.com/politics/news/pm-modi-accuses-congress-of-protecting-1984-riot-culprits-takes-jibe-at-kamal-nath/articleshow/67369918.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
PM Modi attacks Congress on 1984 anti-Sikh riots,https://timesofindia.indiatimes.com/india/pm-modi-attacks-congress-on-1984-anti-sikh-riots/articleshow/67365981.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
Fast track all 1984 anti-Sikh riots cases: Victims to PM Narendra Modi,https://timesofindia.indiatimes.com/city/ludhiana/fast-track-all-84-anti-sikh-riots-cases-victims-to-pm/articleshow/67354133.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
"Fast track all cases of 1984 riots, victims tell PM",https://timesofindia.indiatimes.com/city/chandigarh/fast-track-all-cases-of-1984-riots-victims-tell-pm/articleshow/67356759.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
"
Sachin Khedekar creates a laughter riot on Makarand's show
",https://timesofindia.indiatimes.com/tv/news/marathi/sachin-khedekar-creates-a-laughter-riot-on-makarands-show/articleshow/67354561.cms,02 Jan 2019,2019-01-02 00:00:00,timesofindia,en,
"
BJP man booked for rioting
",https://timesofindia.indiatimes.com/city/noida/bjp-man-booked-for-rioting/articleshow/67341431.cms,01 Jan 2019,2019-01-01 00:00:00,timesofindia,en,
"34 years after anti-Sikh riots, Sajjan Kumar finally goes to jail",https://timesofindia.indiatimes.com/india/34-years-after-anti-sikh-riots-sajjan-kumar-finally-goes-to-jail/articleshow/67330666.cms,01 Jan 2019,2019-01-01 00:00:00,timesofindia,en,
SAD president Sukhbir Badal honours 1984 riots witness in Amritsar,https://timesofindia.indiatimes.com/city/amritsar/sukhbir-honours-84-riots-witness-in-asr/articleshow/67330505.cms,01 Jan 2019,2019-01-01 00:00:00,timesofindia,en,
1984 anti-Sikh riots case: Sajjan Kumar surrenders in Delhi court,https://timesofindia.indiatimes.com/india/1984-anti-sikh-riots-case-sajjan-kumar-surrenders-in-delhi-court/articleshow/67321965.cms,31 Dec 2018,2018-12-31 00:00:00,timesofindia,en,
"1984 anti-Sikh riots case: Two convicts surrender, Sajjan Kumar likely to surrender later in day",https://timesofindia.indiatimes.com/city/delhi/1984-anti-sikh-riots-case-two-convicts-surrender-sajjan-kumar-likely-to-surrender-later-in-day/articleshow/67321602.cms,31 Dec 2018,2018-12-31 00:00:00,timesofindia,en,
"
Charred past, uncertain future for riot-hit family
",https://timesofindia.indiatimes.com/city/pune/charred-past-uncertain-future-for-riot-hit-family/articleshow/67315958.cms,31 Dec 2018,2018-12-31 00:00:00,timesofindia,en,
1984 riots case: Sajjan Kumar expected to surrender today,https://timesofindia.indiatimes.com/india/1984-riots-case-sajjan-kumar-expected-to-surrender-today/articleshow/67317299.cms,31 Dec 2018,2018-12-31 00:00:00,timesofindia,en,
"Inquiry reports on 13 communal riots since 1961 'not available', CIC asks MHA for status",https://timesofindia.indiatimes.com/india/inquiry-reports-on-13-communal-riots-since-1961-not-available-cic-asks-mha-for-status/articleshow/67310543.cms,30 Dec 2018,2018-12-30 00:00:00,timesofindia,en,
"
Riots on streets down, rioting during encounters up in Valley
",https://timesofindia.indiatimes.com/india/riots-on-streets-down-rioting-during-encounters-up-in-valley/articleshow/67294824.cms,29 Dec 2018,2018-12-29 00:00:00,timesofindia,en,
"
Two arrested in Shiroda ‘attack’ case for rioting
",https://timesofindia.indiatimes.com/city/goa/two-arrested-in-shiroda-attack-case-for-rioting/articleshow/67294539.cms,29 Dec 2018,2018-12-29 00:00:00,timesofindia,en,
"
Anti-Sikh riots: DSGMC urges SIT to look into Kamal Nath’s role
",https://timesofindia.indiatimes.com/city/chandigarh/anti-sikh-riots-dsgmc-urges-sit-to-look-into-kamal-naths-role/articleshow/67294490.cms,29 Dec 2018,2018-12-29 00:00:00,timesofindia,en,
"
Pune: Three held for murder attempt, rioting
",https://timesofindia.indiatimes.com/city/pune/pune-three-held-for-murder-attempt-rioting/articleshow/67271998.cms,27 Dec 2018,2018-12-27 00:00:00,timesofindia,en,
1984 riots: Sajjan Kumar may surrender before court on Dec 31,https://timesofindia.indiatimes.com/india/1984-riots-sajjan-kumar-may-surrender-before-court-on-dec-31/articleshow/67270417.cms,27 Dec 2018,2018-12-27 00:00:00,timesofindia,en,
